login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
AlexGyver,AlexGyver/3dpov,2020-04-18T12:58:52Z,7,7,C++,True,True,mit
AlexGyver,AlexGyver/AC_Dimmer,2017-10-04T22:27:47Z,47,47,C,True,True,
AlexGyver,AlexGyver/AiFrame,2024-07-17T11:52:58Z,14,14,C,True,True,mit
AlexGyver,AlexGyver/Aim-Fan,2018-05-28T13:03:26Z,16,16,C++,True,True,mit
AlexGyver,AlexGyver/AlexGyver,2020-10-15T23:12:38Z,50,50,,True,True,
AlexGyver,AlexGyver/alexgyver.github.io,2019-08-02T13:07:33Z,43,43,JavaScript,True,True,
AlexGyver,AlexGyver/ALight_by_KARMAN,2019-10-16T10:54:29Z,24,24,C,True,True,
AlexGyver,AlexGyver/AmbiSensor,2023-08-05T15:28:40Z,16,16,C++,True,True,mit
AlexGyver,AlexGyver/Arduino_Ambilight,2017-08-25T23:11:55Z,152,152,C++,True,True,
AlexGyver,AlexGyver/Arduino_speedometer,2017-03-04T20:50:03Z,21,21,C++,True,True,
AlexGyver,AlexGyver/ArmTank,2021-11-09T07:40:04Z,10,10,C++,True,True,mit
AlexGyver,AlexGyver/Auto-Pumps,2018-05-13T13:33:34Z,20,20,C++,True,True,
AlexGyver,AlexGyver/autoHumidifier,2017-11-02T06:58:55Z,23,23,C++,True,True,
AlexGyver,AlexGyver/automaticTrashcan_v2,2017-10-18T21:50:38Z,10,10,C++,True,True,mit
AlexGyver,AlexGyver/Auto_Pump_Sleep,2018-05-29T12:46:34Z,30,30,C++,True,True,
AlexGyver,AlexGyver/BallClock,2024-09-24T13:32:09Z,8,8,C++,True,True,mit
AlexGyver,AlexGyver/BendeRadio,2023-09-17T11:50:41Z,21,21,C++,True,True,mit
AlexGyver,AlexGyver/Bitmaper,2024-06-22T15:20:17Z,38,38,JavaScript,True,True,
AlexGyver,AlexGyver/BluetoothCar,2018-10-11T21:23:30Z,26,26,C++,True,True,mit
AlexGyver,AlexGyver/capacity-tester,2021-03-16T15:42:38Z,3,3,C++,True,True,
